"Categoria","Consulta","Estado","Filas","Duracion_seg","Error"
"01-inventario","01-inventario-maestro","OK","140","0.9",""
"01-inventario","02-resumen-por-tipo","OK","32","0.63",""
"01-inventario","03-resumen-por-suscripcion","OK","2","0.51",""
"01-inventario","04-resumen-por-ubicacion","OK","6","0.52",""
"02-etiquetado","01-cobertura-etiquetado","OK","1","0.51",""
"02-etiquetado","01-cumplimiento-tags-obligatorios","OK","140","0.66",""
"02-etiquetado","02-cobertura-por-suscripcion","OK","2","0.66",""
"02-etiquetado","02-detalle-etiquetado","OK","140","0.77",""
"02-etiquetado","03-inventario-tags","OK","17","0.56",""
"02-etiquetado","03-validacion-formato-tags","OK","18","0.83",""
"03-finops-waste","01-discos-no-asociados","OK","1","0.61",""
"03-finops-waste","02-public-ips-huerfanas","OK","0","0.73",""
"03-finops-waste","03-nics-sin-vm","OK","1","0.5",""
"03-finops-waste","04-vms-apagadas","OK","0","0.62",""
"03-finops-waste","05-snapshots-antiguos","OK","0","0.61",""
"04-monitoreo-recursos","01-vms-detalle","OK","4","0.62",""
"04-monitoreo-recursos","02-app-services-detalle","OK","7","0.61",""
"04-monitoreo-recursos","03-sql-databases-detalle","OK","0","0.44",""
"04-monitoreo-recursos","04-storage-accounts-detalle","ERROR","0","0.37","Operation returned an invalid status code 'BadRequest'"
"04-monitoreo-recursos","05-aks-clusters-detalle","OK","0","0.72",""
"05-seguridad","01-nsgs-reglas-permisivas","OK","3","0.66",""
"05-seguridad","02-vms-con-ip-publica","OK","3","0.97",""
"06-gobierno","01-azure-policy-compliance","OK","2","1.63",""
