"subscriptionId","resourceGroup","vmName","location","publicIpId","environment","criticality","owner","costCenter"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","VM-SQL-ETL","eastus","/subscriptions/b428f40f-25ce-4000-b888-b850b9ffd789/resourceGroups/Extraccion-de-datos-ETL/providers/Microsoft.Network/publicIPAddresses/VM-SQL-ETL-ip","","","",""
"b428f40f-25ce-4000-b888-b850b9ffd789","glpi-protg","vm-glpi","eastus","/subscriptions/b428f40f-25ce-4000-b888-b850b9ffd789/resourceGroups/GLPI-ProTG/providers/Microsoft.Network/publicIPAddresses/vm-glpi-ip","","","",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmDataBaseptg","southcentralus","/subscriptions/720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78/resourceGroups/rgProtgProd/providers/Microsoft.Network/publicIPAddresses/vmDataBaseptg-pip-643d9b4f80c148c0b6b48a554ad50d1c","","","",""
